Field,Label,Value
resource_1_dataset_id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
resource_1_resource_type,Resource Type,file.upload
resource_1_name,Resource Name,ago_admin_boundaries.gdb.zip
resource_1_mimetype,MIME Type,application/zip
resource_1_size,Size,2.2M
resource_2_created,Created,2025-12-18T15:41:17.900413
resource_2_description,Description,"Angola administrative level 0-3 boundaries (COD-AB), SHP"
resource_2_format,File Format,SHP
resource_2_download_url,Download URL,https://data.humdata.org/dataset/a62b2816-7d2e-4e07-a794-0a1dcb507092/resource/e793b6b3-77df-4e06-a7f5-2fac6882863f/download/ago_admin_boundaries.shp.zip
resource_2_id,Resource ID,e793b6b3-77df-4e06-a7f5-2fac6882863f
resource_2_last_modified,Updated,2026-01-26T15:09:27.205281
resource_2_metadata_modified,Metadata Updated,2026-03-10T08:39:57.669061
resource_2_microdata,Microdata,False
resource_2_dataset_id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
resource_2_resource_type,Resource Type,file.upload
resource_2_name,Resource Name,ago_admin_boundaries.shp.zip
resource_2_mimetype,MIME Type,application/zip
resource_2_size,Size,4.6M
resource_3_created,Created,2025-12-18T15:41:17.900416
resource_3_description,Description,"Angola administrative level 0-3 boundaries (COD-AB), GeoJSON"
resource_3_format,File Format,GeoJSON
resource_3_download_url,Download URL,https://data.humdata.org/dataset/a62b2816-7d2e-4e07-a794-0a1dcb507092/resource/1076fc26-8c42-4196-bb6b-2353487fd7e0/download/ago_admin_boundaries.geojson.zip
resource_3_id,Resource ID,1076fc26-8c42-4196-bb6b-2353487fd7e0
resource_3_last_modified,Updated,2026-01-26T15:09:27.536720
resource_3_metadata_modified,Metadata Updated,2026-03-10T08:39:57.669164
resource_3_microdata,Microdata,False
resource_3_dataset_id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
resource_3_resource_type,Resource Type,file.upload
resource_3_name,Resource Name,ago_admin_boundaries.geojson.zip
resource_3_mimetype,MIME Type,application/zip
resource_3_size,Size,6.1M
resource_4_created,Created,2025-12-18T15:41:17.900421
resource_4_description,Description,"Angola administrative level 0-3 boundaries (COD-AB), XLSX"
resource_4_format,File Format,XLSX
resource_4_download_url,Download URL,https://data.humdata.org/dataset/a62b2816-7d2e-4e07-a794-0a1dcb507092/resource/1e2b4c71-600c-4917-9de3-46fb011c8976/download/ago_admin_boundaries.xlsx
resource_4_id,Resource ID,1e2b4c71-600c-4917-9de3-46fb011c8976
resource_4_last_modified,Updated,2026-01-26T15:09:28.049371
resource_4_metadata_modified,Metadata Updated,2026-03-10T08:39:57.669242
resource_4_microdata,Microdata,False
resource_4_dataset_id,Dataset ID,a62b2816-7d2e-4e07-a794-0a1dcb507092
resource_4_resource_type,Resource Type,file.upload
resource_4_name,Resource Name,ago_admin_boundaries.xlsx
resource_4_mimetype,MIME Type,
resource_4_size,Size,167.1K
